Stock,Country,Gear Type,2007,S_2007,2008,S_2008,2009,S_2009
Albacore in the Mediterranean Sea,Morocco,Longlines (nei),0,-,0,-,120,
Albacore in the Mediterranean Sea,Cyprus,Gear not known,17,,5,,3,
Albacore in the Mediterranean Sea,Cyprus,Longlines (nei),695,,204,,220,
Albacore in the Mediterranean Sea,"Korea, Republic of",Longlines (nei),0,-,0,-,2,
Albacore in the Mediterranean Sea,Syrian Arab Republic,Longlines (nei),6,,5,,0,-
Albacore in the Mediterranean Sea,Syrian Arab Republic,Purse seines,12,,9,,0,-
Albacore in the Mediterranean Sea,Turkey,Gear not known,0,-,208,,631,
Albacore in the Mediterranean Sea,Turkey,Purse seines,852,,0,-,0,-
Albacore in the Mediterranean Sea,France,Gear not known,2,,1,,0,-
Albacore in the Mediterranean Sea,Greece,Gear not known,68,,0,-,0,-
Albacore in the Mediterranean Sea,Greece,Longlines (nei),257,,191,,116,
Albacore in the Mediterranean Sea,Greece,Purse seines,123,,0,-,0,-
Albacore in the Mediterranean Sea,Italy,Gear not known,1220,,5,,1780,
Albacore in the Mediterranean Sea,Italy,Longlines (nei),2739,,2083,,919,
Albacore in the Mediterranean Sea,Italy,Purse seines,58,,15,,25,
Albacore in the Mediterranean Sea,Malta,Longlines (nei),1,,0,-,0,-
Albacore in the Mediterranean Sea,Malta,Trolling lines,0,-,0,-,1,
Albacore in the Mediterranean Sea,Spain,Gear not known,94,,31,,0,-
Albacore in the Mediterranean Sea,Spain,Longlines (nei),421,,207,,205,
Albacore in the North Atlantic,Cabo Verde,Purse seines,0,-,0,-,5,
Albacore in the North Atlantic,Côte d'Ivoire,Longlines (nei),0,-,0,-,25,
Albacore in the North Atlantic,Morocco,Longlines (nei),96,,99,,130,
Albacore in the North Atlantic,Barbados,Gear not known,1,,1,,1,
Albacore in the North Atlantic,Barbados,Longlines (nei),6,,6,,3,
Albacore in the North Atlantic,Belize,Longlines (nei),22,,26,,39,
Albacore in the North Atlantic,Canada,Gear not known,5,,11,,2,
Albacore in the North Atlantic,Canada,Longlines (nei),20,,22,,8,
Albacore in the North Atlantic,Grenada,Longlines (nei),20,,15,,18,
Albacore in the North Atlantic,Panama,Longlines (nei),297,,113,,51,
Albacore in the North Atlantic,Saint Lucia,Trolling lines,2,,2,,0,-
Albacore in the North Atlantic,Saint Vincent/Grenadines,Longlines (nei),263,,130,,134,
Albacore in the North Atlantic,St. Pierre and Miquelon,Longlines (nei),3,,0,-,0,-
Albacore in the North Atlantic,Trinidad and Tobago,Longlines (nei),18,,32,,17,
Albacore in the North Atlantic,United States of America,Gear not known,404,,129,,31,
Albacore in the North Atlantic,United States of America,Longlines (nei),126,,126,,158,
